"","ServiceCode","ServiceURL","FullSiteCode","FullVariableCode","BeginDateTime","EndDateTime","SiteName","Latitude","Longitude","DataType","ValueType","SampleMedium","TimeUnits","TimeSupport"
"427","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:436","CHMI-H:PRUTOK",2006-07-28,2015-08-10,"Bavorov",49.1236114501953,14.0827779769897,"Average","Field Observation","Water","hour",1
"428","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:461","CHMI-H:PRUTOK",2006-08-03,2014-12-28,"Predlánce",50.9711112976074,15.0355558395386,"Average","Field Observation","Water","hour",1
"429","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:462","CHMI-H:PRUTOK",2006-08-04,2014-12-28,"Dolní Štepanice",50.6375007629395,15.5194444656372,"Average","Field Observation","Water","hour",1
"430","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:463","CHMI-H:PRUTOK",2006-08-08,2015-08-10,"Plavy",50.7033729553223,15.3215847015381,"Average","Field Observation","Water","hour",1
"431","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:464","CHMI-H:PRUTOK",2006-08-08,2015-08-10,"VD Souš",50.789722442627,15.3172225952148,"Average","Field Observation","Water","hour",1
"432","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:465","CHMI-H:PRUTOK",2006-08-06,2014-12-28,"Dolní Sytová",50.625,15.4425001144409,"Average","Field Observation","Water","hour",1
"433","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:466","CHMI-H:PRUTOK",2006-08-06,2015-08-10,"LG Mníšek",50.8323593139648,15.0520296096802,"Average","Field Observation","Water","hour",1
"434","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:467","CHMI-H:PRUTOK",2006-08-05,2015-08-10,"Rohoznice",50.3897972106934,15.698917388916,"Average","Field Observation","Water","hour",1
"435","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:468","CHMI-H:PRUTOK",2006-08-08,2014-12-28,"Bílek",49.7044448852539,15.7319440841675,"Average","Field Observation","Water","hour",1
"436","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:469","CHMI-H:PRUTOK",2006-08-08,2014-12-26,"Svídnice",49.8819427490234,15.8125,"Average","Field Observation","Water","hour",1
