"","SiteName","SiteCode","FullSiteCode","Latitude","Longitude","ServCode","ServURL"
"70","Volary","1063","CHMI-D:1063",48.8967933654785,13.8845977783203,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"71","Hoštálková","1064","CHMI-D:1064",49.3521995544434,17.8686008453369,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"72","Jizerka - rašelinište","1065","CHMI-D:1065",50.8244018554688,15.3320999145508,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"73","Zlaté Hory","1066","CHMI-D:1066",50.2527770996094,17.392599105835,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"74","Hanušovice","1067","CHMI-D:1067",50.081901550293,16.9405555725098,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"75","Slezská Harta CHMÚ","1068","CHMI-D:1068",49.8886108398438,17.5752773284912,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"76","Rokytská Slat","1069","CHMI-D:1069",49.0158004760742,13.4194002151489,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"77","Vyšší Brod","107","CHMI-D:107",48.6497230529785,14.3138885498047,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"78","Brezník","1070","CHMI-D:1070",49.9707984924316,13.4819002151489,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"79","Kvilda - Jezerní Slat","1071","CHMI-D:1071",49.0321578979492,13.5710926055908,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"80","Arnoštov","1072","CHMI-D:1072",48.893970489502,13.9928121566772,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"81","Dolní Dvorište","1073","CHMI-D:1073",48.6575126647949,14.454119682312,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"82","Haugschlag","1074","CHMI-D:1074",48.9958839416504,15.05823802948,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"83","Karlstift","1075","CHMI-D:1075",48.5936622619629,14.7539319992065,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"84","Lícov","1076","CHMI-D:1076",48.7261123657227,14.5744438171387,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"85","Limbach","1077","CHMI-D:1077",48.6996994018555,15.1162252426147,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"86","Novosedly","1078","CHMI-D:1078",48.7966651916504,14.2547216415405,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"87","Pilar - Majdalena","1079","CHMI-D:1079",48.9501304626465,14.8715572357178,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"88","Melník","108","CHMI-D:108",50.3527793884277,14.47194480896,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"89","Písek","1080","CHMI-D:1080",49.3136100769043,14.1463890075684,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"90","Porešín","1081","CHMI-D:1081",48.7805557250977,14.5213890075684,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"91","Porešín","1082","CHMI-D:1082",48.7805557250977,14.5213890075684,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"92","Spálenec","1083","CHMI-D:1083",48.9092025756836,13.9797048568726,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"93","Šumavské Hoštice","1084","CHMI-D:1084",49.0386924743652,13.8701953887939,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"94","Tucapy","1085","CHMI-D:1085",49.2894439697266,14.8069438934326,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"95","Trebanice","1086","CHMI-D:1086",49.0107841491699,14.1264848709106,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
